,sky_id,fbref_player,short_team,sky_pos,sky_value,MD_1_Pts,MD_2_Pts,MD_3_Pts,MD_4_Pts,MD_5_Pts,MD_6_Pts,MD_7_Pts,MD_8_Pts,MD_9_Pts,MD_10_Pts,MD_11_Pts,MD_12_Pts,MD_13_Pts,MD_14_Pts,Total_Pts
324,880,Vitaly Janelt,BRE,MID,7.3,0.0,0.0,2.34,0.0,0.0,0.0,0.0,0.0,2.34,0.0,2.25,0.0,0.0,0.0,6.93
325,658,Timothy Castagne,FUL,DEF,7.7,0.0,1.64,0.0,0.0,0.0,2.96,0.0,2.42,0.0,0.0,0.0,1.68,0.0,0.0,8.7
326,491,John Egan,SHU,DEF,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2
327,255,Mario Lemina,WOL,MID,7.0,0.0,0.0,3.14,0.0,0.0,0.0,2.61,0.0,2.25,0.0,2.6,0.0,0.0,0.0,10.6
328,3184,Danilo,FOR,MID,7.0,1.96,0.0,0.0,0.0,0.0,1.91,0.0,1.65,0.0,0.0,1.76,0.0,0.0,0.0,7.279999999999999
329,654,Ola Aina,FOR,DEF,6.7,1.78,0.0,0.0,0.0,0.0,2.18,0.0,1.19,0.0,0.0,1.61,0.0,0.0,0.0,6.760000000000001
330,1934,Jakub Kiwior,ARS,DEF,7.6,0.0,0.0,1.4,0.0,0.0,1.08,0.0,0.0,0.0,1.95,0.0,1.7,0.0,0.0,6.13
331,1245,Ryan Christie,BOU,MID,6.7,0.0,3.38,0.0,0.0,0.0,2.65,0.0,2.97,0.0,0.0,0.0,2.83,0.0,0.0,11.83
332,1890,Ryan Gravenberch,LIV,MID,8.1,0.0,0.0,1.72,0.0,0.0,1.5,0.0,1.65,0.0,0.0,0.0,0.0,1.6,0.0,6.469999999999999
333,1242,Chris Mepham,BOU,DEF,6.7,0.0,1.53,0.0,0.0,0.0,0.95,0.0,0.86,0.0,0.0,0.0,0.47,0.0,0.0,3.8099999999999996
334,885,Josh Dasilva,BRE,MID,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.61,0.0,0.0,0.0,1.17
335,493,Oliver McBurnie,SHU,FOR,7.0,0.0,2.24,0.0,0.0,2.13,0.0,0.0,2.96,0.0,0.0,1.86,0.0,0.0,0.0,9.19
