,sky_id,fbref_player,short_team,sky_pos,sky_value,MD_1_Pts,MD_2_Pts,MD_3_Pts,MD_4_Pts,MD_5_Pts,MD_6_Pts,MD_7_Pts,MD_8_Pts,MD_9_Pts,MD_10_Pts,MD_11_Pts,MD_12_Pts,MD_13_Pts,MD_14_Pts,MD_15_Pts,MD_16_Pts,MD_17_Pts,MD_18_Pts,MD_19_Pts,MD_20_Pts,MD_21_Pts,MD_22_Pts,MD_23_Pts,MD_24_Pts,MD_25_Pts,MD_26_Pts,MD_27_Pts,MD_28_Pts,MD_29_Pts,Total_Pts
146,1400,Amadou Onana,EVE,MID,7.4,1.66,0.0,0.0,2.23,0.0,0.0,0.0,0.0,0.0,2.28,0.0,2.14,0.0,0.0,2.17,0.0,0.0,0.0,0.0,2.33,2.18,2.07,2.23,0.0,2.44,0.0,2.43,0.23,2.08,26.47
147,346,James Milner,BHA,MID,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.7,0.0,0.76,0.0,0.0,1.5,0.0,0.0,0.37,0.84,1.64,0.27,1.53,0.25,1.45,1.19,1.5,12.439999999999998
148,335,Youri Tielemans,AVL,MID,8.1,3.64,0.0,0.0,0.0,4.12,0.0,0.0,0.0,3.86,3.99,0.0,0.0,2.67,0.0,3.64,0.0,0.0,2.79,0.0,0.0,4.2,0.0,3.85,0.0,3.22,0.0,3.62,0.0,3.53,43.129999999999995
149,676,Fábio Silva,WOL,FOR,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,715,Vladimír Coufal,WHU,DEF,7.4,2.46,0.0,0.0,0.0,3.51,0.0,0.0,0.0,2.74,1.61,0.0,2.27,0.0,0.0,2.65,0.0,0.0,2.91,0.0,0.0,2.76,0.0,1.83,0.0,1.8,0.0,3.74,0.0,0.76,29.039999999999996
151,1030,Kristoffer Ajer,BRE,DEF,6.6,3.07,0.0,0.0,1.45,0.0,0.0,0.0,3.38,0.0,2.67,0.0,0.0,2.61,0.0,2.14,0.0,0.0,3.59,0.0,0.0,3.05,0.0,2.43,0.0,2.79,0.0,2.13,0.0,1.36,30.669999999999998
152,492,Chris Basham,SHU,DEF,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.25,0.0,0.37,0.0,0.0,0.61,0.25,0.3,0.0,0.51,0.0,0.62,0.15,0.33,3.5500000000000003
153,1059,James Mcatee,SHU,MID,6.5,0.0,0.0,2.62,2.55,0.0,0.0,0.0,0.0,0.0,2.91,0.0,0.0,0.0,2.36,0.0,2.75,0.0,2.29,0.0,0.0,2.98,1.71,2.49,0.0,2.94,0.0,2.43,0.72,2.87,31.620000000000005
154,3401,Jordan Clark,LUT,MID,6.8,1.43,0.0,0.0,1.11,0.0,0.0,1.22,1.27,0.0,1.0,0.0,0.0,1.04,0.0,1.09,0.0,0.0,0.8,0.0,0.0,0.98,0.0,0.94,0.0,1.01,0.0,0.92,0.0,0.99,13.8
155,1037,Jadon Sancho,MUN,MID,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,1202,Dejan Kulusevski,TOT,MID,8.1,3.33,0.0,0.0,0.0,2.76,0.0,0.0,2.83,0.0,3.37,0.0,2.92,0.0,0.0,0.0,0.0,3.15,2.8,0.0,0.0,0.51,1.12,2.48,0.62,2.42,0.59,3.1,2.12,2.9,37.019999999999996
